Country_name,pred_cost_mean,Type_of_cost_merged,sub_Country_name,sub_pred_cost_mean,event_Country_name,event_pred_cost_mean
,,Management,Malta,1.182171055,Vietnam,1884.714496
,,Management,Mexico,699.4746305,United States,2829.259841
,,Management,Netherlands,53.33986339,Cuba,1456.867786
,,Management,New Zealand,2627.686425,Australia,9.137562341
,,Management,Nicaragua,407.8275164,Argentina,61.65286282
,,Management,Norway,58.65060302,Argentina,61.65286282
,,Management,Panama,217.5895581,Argentina,61.65286282
,,Management,Paraguay,290.823477,Argentina,61.65286282
,,Management,Peru,1377.350616,Argentina,61.65286282
,,Management,Philippines,325.6357985,Argentina,61.65286282
,,Management,Singapore,158.6701341,Argentina,61.65286282
,,Management,Spain,152.3189947,Argentina,61.65286282
,,Management,Sweden,11.12676061,Argentina,61.65286282
,,Management,Tanzania,2.157891458,Brazil,95.80916824
,,Management,Thailand,2131.244963,Brazil,95.80916824
,,Management,Togo,0.174891889,Argentina,408.5353153
,,Management,UK,220.301054,Argentina,408.5353153
,,Management,USA,23272.9443,Brazil,634.8184222
,,Management,Uruguay,246.9365644,Indonesia,191.0827981
,,Management,Venezuela,0.02307698,Vietnam,126.1572712
,,Management,Vietnam,322.4743615,Peru,121.3956869
,,Mixed,Australia,8181.714982,United States,166.7511721
,,Mixed,China,394.9055336,Cuba,91.3180789
,,Mixed,Fiji,23.4299046,United States,3.808004421
,,Mixed,Philippines,192.0182623,France,1.61990695
,,Mixed,UK,19.19377063,Italy,1.108494165
,,Mixed,USA,144702.7613,Spain,1.053661513
,,Mixed,Zambia,30.64336824,New Zealand,1060.648108
,,Unspecified,USA,6723.417977,Canada,103.7482531
,,,,,United States,135.1047492
,,,,,United States,1144.141137
,,,,,India,0.000727445
,,,,,Netherlands,1.064448078
,,,,,Argentina,110.0317759
,,,,,Argentina,13.97473637
,,,,,Japan,0.10666333
,,,,,Japan,0.10666333
,,,,,Peru,726.521063
,,,,,Italy,53.78909498
,,,,,Italy,4.065374734
,,,,,Italy,4.065374734
,,,,,Austria,515.7798762
,,,,,France,620.2672639
,,,,,Germany,636.1777344
,,,,,Canada,1699.4445
,,,,,United States,1914.387711
,,,,,United States,1914.387711
,,,,,United States,1914.387711
,,,,,Canada,4239.896433
,,,,,United States,1211.690004
,,,,,Argentina,146.7363608
,,,,,United States,182.3287026
,,,,,United States,89665.06028
,,,,,United States,1554.258782
,,,,,Argentina,18.2755342
,,,,,United States,363.1930422
,,,,,United States,363.1930422
,,,,,United States,363.1930422
,,,,,United States,363.1930422
,,,,,Sweden,139.8799634
,,,,,Australia,781.3622376
,,,,,Australia,279.8642235
,,,,,Australia,307.603294
,,,,,Australia,47.49528913
,,,,,Australia,47.49528913
,,,,,United Kingdom,0.001183525
,,,,,United Kingdom,0.001183525
,,,,,United States,3.392373965
,,,,,United Kingdom,2.078104579
,,,,,United Kingdom,3.367859364
,,,,,China,34.83601445
,,,,,Sweden,0.825908335
,,,,,Japan,2.56363884
,,,,,Japan,2.56363884
,,,,,Japan,2.56363884
,,,,,Japan,2.56363884
,,,,,China,16154.35378
,,,,,China,16154.35378
,,,,,China,167.9843665
,,,,,Mexico,64.59140117
,,,,,Mexico,246.1314335
,,,,,Mexico,3.36380507
,,,,,Mexico,0.004210424
,,,,,Mexico,0.004210424
,,,,,Mexico,0.004210424
,,,,,Mexico,0.004210424
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Japan,0.202632011
,,,,,Australia,2.243822428
,,,,,Australia,2.243822428
,,,,,Australia,2.243822428
,,,,,Australia,2.243822428
,,,,,Australia,2.243822428
,,,,,Australia,2.243822428
,,,,,Australia,2.243822428
,,,,,Australia,2.243822428
,,,,,Australia,1.10670961
,,,,,Australia,0.304299903
,,,,,Australia,0.304299903
,,,,,Australia,0.304299903
,,,,,Australia,0.304299903
,,,,,Australia,0.304299903
,,,,,Australia,0.061797472
,,,,,Australia,7.551435128
,,,,,Australia,8.060455451
,,,,,Australia,8.060455451
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Australia,1.080697742
,,,,,Germany,66.41159784
,,,,,Australia,96.6681201
,,,,,Australia,96.6681201
,,,,,Australia,1653.600222
,,,,,United States,3420.99027
,,,,,United States,2487.273273
,,,,,Australia,17.49606351
,,,,,Australia,17.49606351
,,,,,Australia,17.49606351
,,,,,Australia,17.49606351
,,,,,Australia,17.49606351
,,,,,Australia,17.49606351
,,,,,Australia,17.49606351
,,,,,Australia,2.008460646
,,,,,Australia,2.008460646
,,,,,Australia,10.10455805
,,,,,New Zealand,11.03952457
,,,,,Australia,10.10455805
,,,,,Australia,10.10455805
,,,,,Australia,21.75411802
,,,,,Australia,21.75411802
,,,,,Chile,0.652672625
,,,,,Chile,0.064886397
,,,,,Chile,0.696039663
,,,,,Argentina,421.5965
,,,,,Argentina,45.79059303
,,,,,Canada,1462.548993
,,,,,Japan,0.04332795
,,,,,Japan,0.04332795
,,,,,Ethiopia,734.909152
,,,,,Kenya,860.7447308
,,,,,Malawi,874.6211201
,,,,,Tanzania,1088.391561
,,,,,Australia,11188.94993
,,,,,United States,24673.92568
,,,,,United States,24673.92568
,,,,,Fiji,6.685210761
,,,,,Fiji,6.685210761
,,,,,Fiji,4.21358652
,,,,,Fiji,4.21358652
,,,,,Fiji,4.21358652
,,,,,Fiji,23.4299046
,,,,,Portugal,0.533186135
,,,,,China,5824.454772
,,,,,United Kingdom,0.048038688
,,,,,United Kingdom,0.058154594
,,,,,United Kingdom,0.828400408
,,,,,Australia,2.097556175
,,,,,China,4.978137714
,,,,,United Kingdom,0.778692514
,,,,,United Kingdom,0.778692514
,,,,,United Kingdom,0.20208313
,,,,,United Kingdom,0.20208313
,,,,,United Kingdom,13.17281907
,,,,,United States,5460.771944
,,,,,United States,5169.159195
,,,,,United States,144.0003009
,,,,,United Kingdom,27.3715398
,,,,,Germany,3.130386897
,,,,,Germany,3.787186759
,,,,,Germany,3.787186759
,,,,,Germany,3.787186759
,,,,,Germany,2.446467693
,,,,,Australia,1.230214536
,,,,,Australia,12.94953169
,,,,,Australia,0.736645018
,,,,,Spain,0.551363588
,,,,,Australia,1362.096237
,,,,,Australia,1362.096237
,,,,,Australia,1362.096237
,,,,,Australia,1362.096237
,,,,,Australia,1362.096237
,,,,,Australia,1362.096237
,,,,,Norway,507.1677927
,,,,,Japan,0.788548828
,,,,,Japan,0.788548828
,,,,,Japan,0.788548828
,,,,,Japan,0.788548828
,,,,,Norway,870.0788169
,,,,,Norway,870.0788169
,,,,,Canada,18692.0863
,,,,,Australia,949.9066358
,,,,,New Zealand,2.934926001
,,,,,Japan,0.176334701
,,,,,Japan,0.176334701
,,,,,Japan,0.176334701
,,,,,Japan,0.176334701
,,,,,Japan,0.176334701
,,,,,Japan,0.176334701
,,,,,Japan,0.176334701
,,,,,Japan,0.176334701
,,,,,Japan,0.176334701
,,,,,Mexico,0.461731226
,,,,,United States,8574.514597
,,,,,China,22.07499113
,,,,,India,40.19497222
,,,,,China,26.50504842
,,,,,China,21.56969615
,,,,,United Kingdom,7.205427228
,,,,,United Kingdom,7.205427228
,,,,,Finland,9.188641825
,,,,,Argentina,15.88394721
,,,,,Brazil,23.87055268
,,,,,Japan,0.455983667
