Class_code,Species,Type_of_cost_merged,pred_cost_mean
Mammal,Capra hircus,Damage,15.07768515
Mammal,Capra hircus,Damage,15.07768515
Mammal,Capra hircus,Damage,15.07768515
Mammal,Capra hircus,Damage,15.07768515
Mammal,Capra hircus,Damage,15.07768515
Mammal,Capra hircus,Damage,15.07768515
Mammal,Capra hircus,Damage,15.07768515
Mammal,Capra hircus,Management,1.730842897
Mammal,Capra hircus,Management,1.730842897
Mammal,Capra hircus,Management,8.637027641
Mammal,Capra hircus,Management,8.192817741
Mammal,Capra hircus,Management,8.637027641
Mammal,Capra hircus,Management,8.637027641
Mammal,Capra hircus,Damage,18.66211965
Mammal,Capra hircus,Damage,18.66211965
Mammal,Castor canadensis,Damage,0.639465636
Mammal,Castor canadensis,Damage,0.064335058
Mammal,Castor canadensis,Damage,0.690947955
terrinv,Ceratitis capitata,Damage,378.3075571
terrinv,Ceratitis capitata,Management,40.71991111
terrinv,Ceutorhynchus obstrictus,Damage,1153.088925
Reptilia,Chelydra serpentina,Management,0.040888997
Reptilia,Chelydra serpentina,Management,0.040888997
terrinv,Chilo partellus,Damage,524.5393056
terrinv,Chilo partellus,Damage,602.1989424
terrinv,Chilo partellus,Damage,649.2997062
terrinv,Chilo partellus,Damage,810.9708657
terrinv,Cochliomyia hominivorax,Damage,9182.226
terrinv,Coptotermes formosanus,Mixed,20713.01749
terrinv,Coptotermes formosanus,Mixed,20713.01749
terrinv,Coptotermes gestroi,Damage,6.331979169
terrinv,Coptotermes gestroi,Damage,6.331979169
terrinv,Coptotermes gestroi,Management,4.091385493
terrinv,Coptotermes gestroi,Management,4.091385493
terrinv,Coptotermes gestroi,Management,4.091385493
terrinv,Coptotermes gestroi,Mixed,22.75039834
Freshwater,Corbicula fluminea,Damage,0.481686537
terrinv,Cydia pomonella,Damage,3941.659541
Bird,Cygnus olor,Damage,0.04223349
Bird,Cygnus olor,Management,0.051126948
Bird,Cygnus olor,Management,0.731941764
terrinv,Daktulosphaira vitifoliae,Management,1.7206388
terrinv,Daktulosphaira vitifoliae,Mixed,3.959487998
terrinv,Dendroctonus micans,Damage,0.62427177
terrinv,Dendroctonus micans,Damage,0.62427177
terrinv,Dendroctonus micans,Management,0.162008483
terrinv,Dendroctonus micans,Management,0.162008483
Freshwater,Dreissena polymorpha,Management,11.15707893
Freshwater,Dreissena polymorpha,Mixed,4842.586676
Freshwater,Dreissena polymorpha,Unspecified,4589.535775
terrinv,Drosophila suzukii,Damage,133.901108
terrinv,Elatobium abietinum,Damage,22.94376275
terrinv,Ephestia kuehniella,Damage,3.840068969
terrinv,Ephestia kuehniella,Management,4.645770261
terrinv,Ephestia kuehniella,Management,4.645770261
terrinv,Ephestia kuehniella,Management,4.645770261
terrinv,Ephestia kuehniella,Management,2.986308362
Mammal,Equus caballus,Management,1.036607891
Mammal,Felis catus,Damage,11.28079566
Mammal,Felis catus,Management,0.638697038
Mammal,Felis catus,Management,0.491870288
Mammal,Felis catus,Mixed,1167.215657
Mammal,Felis catus,Mixed,1167.215657
Mammal,Felis catus,Mixed,1167.215657
Mammal,Felis catus,Mixed,1167.215657
Mammal,Felis catus,Mixed,1167.215657
Mammal,Felis catus,Mixed,1167.215657
terrinv,Frankliniella occidentalis,Damage,591.4049626
terrinv,Globodera rostochiensis,Management,0.835067702
terrinv,Globodera rostochiensis,Management,0.835067702
terrinv,Globodera rostochiensis,Management,0.835067702
terrinv,Globodera rostochiensis,Management,0.835067702
Freshwater,Gyrodactylus salaris,Damage,525.4033879
Freshwater,Gyrodactylus salaris,Damage,525.4033879
terrinv,Haematobia irritans,Damage,16658.24553
terrinv,Halotydeus destructor,Damage,858.2615311
Mammal,Hemitragus jemlahicus,Management,1.927831987
Mammal,Herpestes javanicus,Damage,0.138454049
Mammal,Herpestes javanicus,Damage,0.138454049
Mammal,Herpestes javanicus,Damage,0.138454049
Mammal,Herpestes javanicus,Damage,0.138454049
Mammal,Herpestes javanicus,Damage,0.138454049
Mammal,Herpestes javanicus,Damage,0.138454049
Mammal,Herpestes javanicus,Damage,0.138454049
