Class_code,Species,Type_of_cost_merged,pred_cost_mean,s_Class_code,s_Species,s_Damage,s_manage,s_mixed,s_unspecified,s_pred_cost_mean
terrinv,Cameraria ohridella,Management,62.43424869,Fish,Pseudorasbora parva,0,0,0,0,0.822790294
terrinv,Ceratitis capitata,Damage,378.3075571,Fish,Phoxinus phoxinus,0,0,0,0,0.573741663
terrinv,Ceratitis capitata,Management,40.71991111,Mammal,Phascolarctos cinereus,0,0,0,0,0.526690204
terrinv,Ceutorhynchus obstrictus,Damage,1153.088925,Freshwater,Corbicula fluminea,0,0,0,0,0.481686537
terrinv,Chilo partellus,Damage,2587.00882,terrinv,Hyblaea puera,0,0,0,0,0.440989738
terrinv,Cochliomyia hominivorax,Damage,9182.226,terrinv,Prostephanus truncatus,0,0,0,0,0.367602577
terrinv,Coptotermes formosanus,Mixed,41426.03498,Reptilia,Anolis carolinensis,0,0,0,0,0.24644196
terrinv,Coptotermes gestroi,Damage,12.66395834,Fish,Tinca tinca,0,0,0,0,0.18918163
terrinv,Coptotermes gestroi,Management,12.27415648,Amphibian,Lithobates catesbeianus,0,0,0,0,0.146854034
terrinv,Coptotermes gestroi,Mixed,22.75039834,terrinv,Maconellicoccus hirsutus,0,0,0,0,0.103248954
terrinv,Cydia pomonella,Damage,3941.659541,Reptilia,Chelydra serpentina,0,0,0,0,0.081777994
terrinv,Daktulosphaira vitifoliae,Management,1.7206388,Amphibian,Xenopus laevis,0,0,0,0,0.019014146
terrinv,Daktulosphaira vitifoliae,Mixed,3.959487998,terrinv,Varroa jacobsoni,0,0,0,0,0.002298147
terrinv,Dendroctonus micans,Damage,1.24854354,terrinv,Aleurodicus rugioperculatus,0,0,0,0,0.000553994
terrinv,Dendroctonus micans,Management,0.324016966,,,,,,,
terrinv,Drosophila suzukii,Damage,133.901108,,,,,,,
terrinv,Elatobium abietinum,Damage,22.94376275,,,,,,,
terrinv,Ephestia kuehniella,Damage,3.840068969,,,,,,,
terrinv,Ephestia kuehniella,Management,16.92361915,,,,,,,
terrinv,Frankliniella occidentalis,Damage,591.4049626,,,,,,,
terrinv,Globodera rostochiensis,Management,3.340270808,,,,,,,
terrinv,Haematobia irritans,Damage,16658.24553,,,,,,,
terrinv,Halotydeus destructor,Damage,858.2615311,,,,,,,
terrinv,Hyblaea puera,Management,0.440989738,,,,,,,
terrinv,Hypera postica,Management,8178.488545,,,,,,,
terrinv,Hyphantria cunea,Mixed,20.42722447,,,,,,,
terrinv,Hypothenemus hampei,Damage,24.610636,,,,,,,
terrinv,Leptinotarsa decemlineata,Damage,20.80918065,,,,,,,
terrinv,Leptinotarsa decemlineata,Management,32.6865288,,,,,,,
terrinv,Linepithema humile,Management,6.570199028,,,,,,,
terrinv,Liriomyza huidobrensis,Management,30.41703324,,,,,,,
terrinv,Liriomyza sativae,Damage,889.3492993,,,,,,,
terrinv,Lissachatina fulica,Management,30.8727442,,,,,,,
terrinv,Listronotus bonariensis,Damage,1243.458779,,,,,,,
terrinv,Lymantria dispar,Damage,9419.229164,,,,,,,
terrinv,Lymantria dispar,Management,510.2641142,,,,,,,
terrinv,Maconellicoccus hirsutus,Management,0.103248954,,,,,,,
terrinv,Nilaparvata lugens,Damage,597.2739003,,,,,,,
terrinv,Paracoccus marginatus,Management,1031.37402,,,,,,,
terrinv,Pectinophora gossypiella,Mixed,117.4115875,,,,,,,
terrinv,Phenacoccus solenopsis,Damage,6787.435531,,,,,,,
terrinv,Phthorimaea operculella,Mixed,144.9373503,,,,,,,
terrinv,Prostephanus truncatus,Management,0.367602577,,,,,,,
terrinv,Raoiella indica,Management,2.156574363,,,,,,,
terrinv,Rhipicephalus microplus,Damage,14762.71988,,,,,,,
terrinv,Rhynchophorus ferrugineus,Management,10.68207125,,,,,,,
terrinv,Scirtothrips perseae,Damage,69.58615696,,,,,,,
terrinv,Scirtothrips perseae,Mixed,74.36483597,,,,,,,
terrinv,Sirex noctilio,Management,202.7885875,,,,,,,
terrinv,Solenopsis invicta,Management,1130.054424,,,,,,,
